docname,topic,proportion
calgwildrose-9e1mQhN4-20181203.mp3.txt,1,0.015751
calgwildrose-9e1mQhN4-20181203.mp3.txt,3,0.007992
ottallinaday-L2Xw8jUy-20190109.mp3.txt,3,0.820553
ottallinaday-L2Xw8jUy-20190109.mp3.txt,4,0.068262
ottallinaday-L2Xw8jUy-20190109.mp3.txt,5,0.062721
ottallinaday-L2Xw8jUy-20190109.mp3.txt,0,0.04374
ottallinaday-L2Xw8jUy-20190109.mp3.txt,2,0.004724
calgwildrose-tRpZoah4-20190108.mp3.txt,0,0.91973
calgwildrose-tRpZoah4-20190108.mp3.txt,3,0.070577
calgwildrose-tRpZoah4-20190108.mp3.txt,1,0.009693
ottallinaday-G57HDDuP-20181116.mp3.txt,3,0.718139
ottallinaday-G57HDDuP-20181116.mp3.txt,1,0.281861
ottallinaday-xOYbcSiJ-20181128.mp3.txt,3,0.684114
ottallinaday-xOYbcSiJ-20181128.mp3.txt,0,0.219015
ottallinaday-xOYbcSiJ-20181128.mp3.txt,1,0.096871
ottallinaday-JoLMaelL-20190130.mp3.txt,6,0.970378
ottallinaday-JoLMaelL-20190130.mp3.txt,3,0.018818
ottallinaday-JoLMaelL-20190130.mp3.txt,0,0.010804
ottallinaday-m1XZkSiA-20181121.mp3.txt,1,0.868428
ottallinaday-m1XZkSiA-20181121.mp3.txt,0,0.131572
calgwildrose-whbJih6D-20181108.mp3.txt,2,0.777824
calgwildrose-whbJih6D-20181108.mp3.txt,3,0.09205
calgwildrose-whbJih6D-20181108.mp3.txt,0,0.079895
calgwildrose-whbJih6D-20181108.mp3.txt,4,0.050232
ottallinaday-h2yKLKsg-20181203.mp3.txt,6,0.378725
ottallinaday-h2yKLKsg-20181203.mp3.txt,3,0.303088
ottallinaday-h2yKLKsg-20181203.mp3.txt,5,0.176575
ottallinaday-h2yKLKsg-20181203.mp3.txt,4,0.135651
ottallinaday-h2yKLKsg-20181203.mp3.txt,1,0.005962
calgwildrose-RQM7N5bT-20181106.mp3.txt,6,0.819677
calgwildrose-RQM7N5bT-20181106.mp3.txt,0,0.124753
calgwildrose-RQM7N5bT-20181106.mp3.txt,3,0.045373
calgwildrose-RQM7N5bT-20181106.mp3.txt,2,0.005874
calgwildrose-RQM7N5bT-20181106.mp3.txt,1,0.004324
ottallinaday-2xUDcMKm-20181122.mp3.txt,2,0.366637
ottallinaday-2xUDcMKm-20181122.mp3.txt,3,0.29931
ottallinaday-2xUDcMKm-20181122.mp3.txt,1,0.277838
ottallinaday-2xUDcMKm-20181122.mp3.txt,5,0.056215
calgwildrose-hHU8bNRX-20181204.mp3.txt,6,0.459382
calgwildrose-hHU8bNRX-20181204.mp3.txt,0,0.449039
calgwildrose-hHU8bNRX-20181204.mp3.txt,3,0.06919
calgwildrose-hHU8bNRX-20181204.mp3.txt,2,0.013193
calgwildrose-hHU8bNRX-20181204.mp3.txt,1,0.009196
calgwildrose-eLWT1Six-20181220.mp3.txt,2,0.651837
calgwildrose-eLWT1Six-20181220.mp3.txt,5,0.212233
calgwildrose-eLWT1Six-20181220.mp3.txt,0,0.109986
calgwildrose-eLWT1Six-20181220.mp3.txt,6,0.025944
airplayyk1-CSJNmcFm-20181010.mp3.txt,2,0.950004
airplayyk1-CSJNmcFm-20181010.mp3.txt,0,0.041733
airplayyk1-CSJNmcFm-20181010.mp3.txt,4,0.008262
calgwildrose-uCehxOZB-20190123.mp3.txt,6,0.500623
calgwildrose-uCehxOZB-20190123.mp3.txt,0,0.352697
calgwildrose-uCehxOZB-20190123.mp3.txt,5,0.075745
calgwildrose-uCehxOZB-20190123.mp3.txt,3,0.064958
calgwildrose-uCehxOZB-20190123.mp3.txt,2,0.005977
ottallinaday-P9Kb58Py-20190121.mp3.txt,3,0.504986
ottallinaday-P9Kb58Py-20190121.mp3.txt,1,0.367922
ottallinaday-P9Kb58Py-20190121.mp3.txt,5,0.127092
calgwildrose-6tQ929aW-20190124.mp3.txt,0,0.819247
calgwildrose-6tQ929aW-20190124.mp3.txt,3,0.162722
calgwildrose-6tQ929aW-20190124.mp3.txt,6,0.018032
ottallinaday-Jp05a789-20181129.mp3.txt,1,0.720408
ottallinaday-Jp05a789-20181129.mp3.txt,5,0.166205
ottallinaday-Jp05a789-20181129.mp3.txt,3,0.113388
ottallinaday-sboJyReM-20181227.mp3.txt,4,0.89108
ottallinaday-sboJyReM-20181227.mp3.txt,5,0.060327
ottallinaday-sboJyReM-20181227.mp3.txt,0,0.048593
ottallinaday-XzVcVp68-20190201.mp3.txt,1,0.491582
ottallinaday-XzVcVp68-20190201.mp3.txt,0,0.41876
ottallinaday-XzVcVp68-20190201.mp3.txt,3,0.059677
ottallinaday-XzVcVp68-20190201.mp3.txt,2,0.029981
ottallinaday-kRMWZacn-20181130.mp3.txt,4,0.900503
ottallinaday-kRMWZacn-20181130.mp3.txt,0,0.078052
ottallinaday-kRMWZacn-20181130.mp3.txt,1,0.021446
ottallinaday-xU77CFV5-20181228.mp3.txt,2,0.578082
ottallinaday-xU77CFV5-20181228.mp3.txt,4,0.224604
ottallinaday-xU77CFV5-20181228.mp3.txt,5,0.189407
ottallinaday-xU77CFV5-20181228.mp3.txt,1,0.007907
ottallinaday-GNgHUNuo-20181220.mp3.txt,3,0.909193
ottallinaday-GNgHUNuo-20181220.mp3.txt,5,0.060055
ottallinaday-GNgHUNuo-20181220.mp3.txt,1,0.025021
ottallinaday-GNgHUNuo-20181220.mp3.txt,2,0.005732
2050_20170608_99144.mp3.txt,0,0.839845
2050_20170608_99144.mp3.txt,3,0.087804
2050_20170608_99144.mp3.txt,4,0.028699
2050_20170608_99144.mp3.txt,2,0.023852
2050_20170608_99144.mp3.txt,6,0.015675
2050_20170608_99144.mp3.txt,5,0.004125
calgwildrose-UEDvaLJO-20181129.mp3.txt,5,0.360399
calgwildrose-UEDvaLJO-20181129.mp3.txt,2,0.296817
calgwildrose-UEDvaLJO-20181129.mp3.txt,0,0.199785
calgwildrose-UEDvaLJO-20181129.mp3.txt,6,0.142998
ottallinaday-7fPJN2Mg-20181218.mp3.txt,1,0.560864
ottallinaday-7fPJN2Mg-20181218.mp3.txt,0,0.426572
ottallinaday-7fPJN2Mg-20181218.mp3.txt,2,0.012564
calgwildrose-RbQP2ijv-20181129.mp3.txt,0,0.524254
calgwildrose-RbQP2ijv-20181129.mp3.txt,3,0.365167
calgwildrose-RbQP2ijv-20181129.mp3.txt,5,0.110579
calgwildrose-QvaHUzDa-20181221.mp3.txt,0,0.668735
calgwildrose-QvaHUzDa-20181221.mp3.txt,2,0.192152
calgwildrose-QvaHUzDa-20181221.mp3.txt,3,0.139114
calgwildrose-NJ0gjlPZ-20181210.mp3.txt,2,0.548412
calgwildrose-NJ0gjlPZ-20181210.mp3.txt,4,0.34063
calgwildrose-NJ0gjlPZ-20181210.mp3.txt,0,0.094012
calgwildrose-NJ0gjlPZ-20181210.mp3.txt,5,0.016945
calgwildrose-hcc2fmYU-20181112.mp3.txt,0,0.504668
calgwildrose-hcc2fmYU-20181112.mp3.txt,6,0.347515
calgwildrose-hcc2fmYU-20181112.mp3.txt,2,0.147817
calgwildrose-JgIYoVUI-20181213.mp3.txt,0,0.519478
calgwildrose-JgIYoVUI-20181213.mp3.txt,2,0.212604
calgwildrose-JgIYoVUI-20181213.mp3.txt,5,0.174579
calgwildrose-JgIYoVUI-20181213.mp3.txt,3,0.093339
calgwildrose-wULhtPRR-20190131.mp3.txt,0,0.913955
calgwildrose-wULhtPRR-20190131.mp3.txt,3,0.06724
calgwildrose-wULhtPRR-20190131.mp3.txt,2,0.018804
airplayyk1-SBVtzKbx-20181026.mp3.txt,4,0.905696
airplayyk1-SBVtzKbx-20181026.mp3.txt,3,0.064961
airplayyk1-SBVtzKbx-20181026.mp3.txt,2,0.029343
calgwildrose-woD3nKY3-20181121.mp3.txt,0,0.955697
calgwildrose-woD3nKY3-20181121.mp3.txt,1,0.033552
calgwildrose-woD3nKY3-20181121.mp3.txt,3,0.010751
calgwildrose-sEfTNmJd-20190125.mp3.txt,0,0.57182
calgwildrose-sEfTNmJd-20190125.mp3.txt,2,0.239108
calgwildrose-sEfTNmJd-20190125.mp3.txt,6,0.08712
calgwildrose-sEfTNmJd-20190125.mp3.txt,1,0.051326
calgwildrose-sEfTNmJd-20190125.mp3.txt,4,0.031948
calgwildrose-sEfTNmJd-20190125.mp3.txt,5,0.018678
calgwildrose-HTXo1c64-20181121.mp3.txt,0,0.845717
calgwildrose-HTXo1c64-20181121.mp3.txt,5,0.053317
calgwildrose-HTXo1c64-20181121.mp3.txt,6,0.05314
calgwildrose-HTXo1c64-20181121.mp3.txt,3,0.030063
calgwildrose-HTXo1c64-20181121.mp3.txt,1,0.017764
ottallinaday-FntqzsSP-20190110.mp3.txt,4,0.301026
ottallinaday-FntqzsSP-20190110.mp3.txt,5,0.275927
ottallinaday-FntqzsSP-20190110.mp3.txt,3,0.245625
ottallinaday-FntqzsSP-20190110.mp3.txt,1,0.177423
calgwildrose-SC6jcOE0-20181106.mp3.txt,2,0.458021
calgwildrose-SC6jcOE0-20181106.mp3.txt,0,0.305329
calgwildrose-SC6jcOE0-20181106.mp3.txt,3,0.205875
calgwildrose-SC6jcOE0-20181106.mp3.txt,6,0.014547
calgwildrose-SC6jcOE0-20181106.mp3.txt,4,0.010429
calgwildrose-SC6jcOE0-20181106.mp3.txt,1,0.005798
calgwildrose-e7mNI3yn-20190118.mp3.txt,0,0.535956
calgwildrose-e7mNI3yn-20190118.mp3.txt,2,0.219435
calgwildrose-e7mNI3yn-20190118.mp3.txt,3,0.178629
calgwildrose-e7mNI3yn-20190118.mp3.txt,5,0.037098
calgwildrose-e7mNI3yn-20190118.mp3.txt,4,0.028881
calgwildrose-Rpjqj1CV-20190114.mp3.txt,3,0.536739
calgwildrose-Rpjqj1CV-20190114.mp3.txt,0,0.379474
calgwildrose-Rpjqj1CV-20190114.mp3.txt,5,0.055688
calgwildrose-Rpjqj1CV-20190114.mp3.txt,2,0.020187
calgwildrose-Rpjqj1CV-20190114.mp3.txt,1,0.007911
airplayyk1-p8wChbFz-20181206.mp3.txt,3,0.94933
airplayyk1-p8wChbFz-20181206.mp3.txt,5,0.022577
airplayyk1-p8wChbFz-20181206.mp3.txt,4,0.017763
airplayyk1-p8wChbFz-20181206.mp3.txt,0,0.01033
calgwildrose-QRYvOZg6-20190122.mp3.txt,0,0.953333
calgwildrose-QRYvOZg6-20190122.mp3.txt,1,0.029486
calgwildrose-QRYvOZg6-20190122.mp3.txt,3,0.011085
calgwildrose-QRYvOZg6-20190122.mp3.txt,6,0.006096
calgwildrose-Ze1Qim68-20181130.mp3.txt,0,0.604463
